No,Nama Menu,Kategori,Kalori (kcal),Sumber Karbohidrat,Bahan Utama / Pendamping,Deskripsi Singkat
1,Dori Cabe Garam,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ikan dori tumis, rasa pedas gurih, rendah minyak"
2,Sempol Ayam Grill,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ayam olahan panggang, tinggi protein, snack sehat"
3,Soto Ayam Spesial,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Soto ayam kuah bening, tanpa santan, lauk lengkap"
4,Beef Yakiniku,Sapi,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Daging sapi yakiniku, tumis sayur, saus gurih"
5,Rawon Surabaya,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Boiled Egg, Tempe","Daging rawon empuk, kuah rempah, lauk tempe"
6,Chicken Teriyaki Grill,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Salad Sayur","Ayam panggang saus teriyaki, tanpa santan"
7,Ayam Serundeng,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Ayam bumbu serundeng, tumis sayur, protein nabati"
8,Dori Saus Mentega,Ikan,395,"Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ikan dori lembut, saus mentega gurih, tidak pedas"
9,Chicken Curry,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Kari ayam bumbu rempah, tanpa santan, rendah lemak"
10,Bola Ayam Crispy,Ayam,390,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Bola daging ayam garing, disajikan dengan salad segar"
11,Cah Ayam Jamur,Ayam,400,"Jagung, Nasi Merah, Kentang","Tumis Sayur, Tofu","Tumis ayam dan jamur, kaya protein, menu klasik"
12,Chicken Patty Crispy,Ayam,390,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Patty ayam renyah, disajikan dengan telur mata sapi"
13,Ayam Saus Wijen,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam tumis dengan saus wijen, rasa gurih"
14,Cah Tahu Sapi,Sapi,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Tumis tahu dan daging sapi cincang, protein seimbang"
15,Soto Bandung,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg, Snack","Soto daging sapi kuah bening, khas Bandung"
16,Chicken Herbs Grill & Egg Tortila,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Ayam panggang bumbu herbal, dengan tortila telur"
17,Chicken Blackpepper,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam lada hitam, tumis sayuran, rasa pedas hangat"
18,Dori Popcorn,Ikan,395,"","Pasta Creamy Sauce, Steamed Vege","Potongan dori renyah, disajikan dengan pasta saus krim"
19,Soto Daging Spesial,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Bihun & Tauge, Boiled Egg","Soto daging kuah kaya rempah, lauk lengkap"
20,Cah Buncis Ayam,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Tempe, Snack","Tumis buncis dengan ayam cincang, lauk tempe"
21,Rolade Ayam,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Sayur Sop, Snack","Rolade ayam kukus, disajikan dengan sayur sop"
22,Chicken Grill Sambal Matah,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Ayam panggang, disajikan dengan sambal matah segar"
23,Dori Katsu Balado,Ikan,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Katsu ikan dori, bumbu balado pedas, tidak berminyak"
24,Tahu Bakso Kuah,Sapi,395,"","Steamed Vege, Bihun, Snack","Tahu bakso sapi, kuah kaldu segar, tanpa santan"
25,Chicken Woku,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Ayam bumbu woku khas Manado, pedas dan wangi"
26,Beef Burger,Sapi,395,"","Salad Sayur, Snack","Burger patty sapi, disajikan tanpa roti, dengan salad"
27,Cah Sapi Buncis,Sapi,400,"Jagung, Nasi Merah, Nasi Putih","Sunny Egg, Snack","Tumis buncis dan daging sapi cincang, lauk telur"
28,Ayam Saus Mentega,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ayam tumis saus mentega klasik, gurih"
29,Chicken Honey,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Cah Pakcoy Jamur, Tofu","Ayam panggang saus madu, rasa manis gurih"
30,Fish Stick Saus Korea,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Stik ikan renyah, saus korea gochujang, pedas manis"
31,Bola Daging Teriyaki,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Sayur Sop, Snack","Bola daging sapi, saus teriyaki, dengan sayur sop"
32,Chicken Crispy Saus Barbeque,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege","Ayam renyah, saus barbeque buatan sendiri"
33,Ayam Maranggi,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Sate ayam maranggi tanpa tusuk, bumbu rempah"
34,Bola Ayam Saus Asam Pedas,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Bola ayam, saus asam pedas segar, tumis sayur"
35,Dori Katsu,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur/Salad Sayur","Katsu ikan dori renyah, pilihan tumis atau salad"
36,Chicken Tomyum,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Ayam kuah tomyum, rasa asam pedas, tanpa santan"
37,Dori Sambal Ijo,Ikan,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Ikan dori, bumbu sambal ijo pedas nikmat"
38,Chicken Salted Egg,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ayam saus telur asin, gurih, rendah minyak"
39,Soto Bandung,Sapi,390,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg, Snack","Soto daging khas Bandung, kuah bening, lobak"
40,Cah Brokoli Ayam,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Sunny Egg, Tofu","Tumis brokoli segar, ayam cincang, lauk telur"
41,Ayam Saus Wijen,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam tumis, saus wijen sangrai, wangi dan gurih"
42,Beef Patty BBQ,Sapi,395,"Ubi, Kentang, Nasi Merah, Nasi Putih","Steamed Vege/Salad Sayur","Patty sapi panggang, saus barbeque, tanpa roti"
43,Ayam Balado,Ayam,385,"Jagung, Nasi Merah, Nasi Putih","Sayur Bayam, Tempe","Ayam bumbu balado, tumis sayur bayam, lauk tempe"
44,Dori Katsu & Pasta Aglio Eolio,Ikan,400,"","Steamed Vege","Katsu ikan dori, disajikan dengan pasta aglio eolio"
45,Chicken Ball Woku,Ayam,390,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Bola ayam bumbu woku, pedas kemangi, tumis sayur"
46,Egg Tortila & Baked Chicken Honey,Ayam,397,"Jagung","Steamed Vege","Tortila telur, ayam panggang saus madu, jagung rebus"
47,Soto Betawi,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Pilihan: Sapi/Ayam, Steamed Vege, Boiled Egg","Soto betawi kuah bening, tanpa santan, kaya rempah"
48,Ayam Saus Mentega,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Ayam tumis saus mentega, lauk tahu kukus"
49,Ayam Serundeng,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam tabur serundeng kelapa, gurih, tumis sayur"
50,Pangsit Ayam & Yamin/Yahun,Ayam,395,"","Pakcoy, Snack","Pangsit ayam rebus, mie yamin/yahun sehat"
51,Creamy Chicken Mushroom,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Sunny Egg","Ayam jamur saus krim, rendah lemak, lauk telur"
52,Buncis Sapi Lada Hitam,Sapi,395,"Ubi, Jagung, Nasi Merah, Nasi Putih","Tofu, Snack","Tumis buncis dan sapi cincang, saus lada hitam"
53,Ayam Bakar,Ayam,390,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Ayam bakar bumbu kecap, tumis sayur, lauk tempe"
54,Dori Salted Egg,Ikan,390,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ikan dori saus telur asin, gurih, sayuran kukus"
55,Dori Sambal Ijo,Ikan,395,"Kentang, Nasi Merah, Nasi Putih","Clear Soup, Tofu","Ikan dori bumbu sambal ijo, disajikan sop, lauk tahu"
56,Chicken Patty Crispy,Ayam,390,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Patty ayam renyah, disajikan dengan salad sayur"
57,Chicken Tomyum,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Ayam kuah tomyum, asam pedas segar, lauk telur rebus"
58,Chicken BBQ Grill,Ayam,390,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ayam panggang saus barbeque, sayuran kukus"
59,Dori Sambal Matah,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Scramble Egg","Ikan dori, sambal matah segar, lauk telur orak-arik"
60,Longbun with Chicken Blackpepper,Ayam,400,"","Salad Sayur, Snack","Roti gandum, ayam lada hitam, disajikan dengan salad"
61,Soto Ayam Spesial,Ayam,395,"Bihun, Kentang, Nasi Merah, Nasi Putih","Sunny Egg, Kol, Tauge","Soto ayam kuah kuning, lauk lengkap, tanpa santan"
62,Bistik Sapi,Sapi,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Bistik daging sapi empuk, saus gurih, sayur kukus"
63,Sapi Cabe Garam,Sapi,390,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Daging sapi tumis cabe garam, pedas gurih, lauk tempe"
64,Bola Ayam Sambal Taichan,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Bola ayam bakar, sambal taichan pedas asam"
65,Chicken Rolade,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Rolade ayam kukus, disajikan tumis sayuran"
66,Dori Katsu Saus Asam Manis,Ikan,390,"Jagung, Nasi Merah, Nasi Putih","Sayur Sop, Tofu","Katsu ikan dori, saus asam manis, lauk sayur sop"
67,Baked Chicken Honey,Ayam,390,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam panggang madu, bumbu meresap, tumis sayur"
68,Dori Stick,Ikan,400,"","Pasta Aglio E'olio, Steamed Vege, Snack","Stik ikan dori, pasta aglio eolio, sayuran kukus"
69,Rawon Surabaya (Sapi/Ayam),Lainnya,395,"Kentang, Nasi Merah, Nasi Putih","Boiled Egg, Tempe","Rawon kuah rempah, pilihan sapi atau ayam"
70,Chicken Ball Blackpepper,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Bola ayam saus lada hitam, lauk tahu kukus"
71,Ayam Maranggi,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Ayam bumbu maranggi, tumis sayur, lauk tempe"
72,Beef Patty Kastu,Sapi,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Sauce","Patty sapi panggang, saus kastu, sayuran kukus"
73,Dori Cabai Garam,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ikan dori tumis cabai garam, pedas gurih"
74,Chicken Grill Sambal Matah,Ayam,390,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ayam panggang, sambal matah segar, sayur kukus"
75,Ayam Suwir Teriyaki,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam suwir saus teriyaki, tumis sayuran"
76,Scotch Egg,Lainnya,395,"Jagung","Salad Sayur","Telur rebus dibalut daging, disajikan dengan salad"
77,Ayam Bumbu Kari,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Scramble Egg","Ayam bumbu kari, tanpa santan, lauk telur orak-arik"
78,Beef & Tofu Teriyaki,Sapi,400,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege","Daging sapi dan tahu, saus teriyaki, sayur kukus"
79,Dori Oat Saus Asam Manis,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ikan dori balut oat, saus asam manis, tumis sayur"
80,Ayam Bakar Padang,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tempe","Ayam bakar bumbu padang, tanpa santan, lauk tempe"
81,Ayam Maranggi,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Sunny Egg","Ayam bumbu maranggi, tumis sayur, lauk telur"
82,Bola Daging Saus Lada Hitam,Sapi,395,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Bola daging sapi, saus lada hitam, disajikan salad"
83,Ayam Balado,Ayam,390,"Jagung, Nasi Merah, Nasi Putih","Sayur Bayam (+Wortel & Labu Siam), Snack","Ayam bumbu balado, tumis sayur bayam, wortel, labu"
84,Fish Stick Saus Wijen,Ikan,395,"Ubi, Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Puding Buah","Stik ikan saus wijen, sayur kukus, hidangan penutup"
85,Soto Bandung,Sapi,390,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg, Snack","Soto daging kuah bening, lobak, lauk telur rebus"
86,Chicken Katsu,Ayam,390,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Katsu ayam panggang, rendah minyak, disajikan salad"
87,Ayam Serundeng,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tahu/Tempe","Ayam tabur serundeng, tumis sayur, lauk tahu/tempe"
88,Chicken Teriyaki Grill,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Scramble Egg","Ayam panggang teriyaki, lauk telur orak-arik"
89,Ikan Acar Kuning,Ikan,395,"Kentang, Nasi Merah, Nasi Putih","Perkedel Tahu, Snack","Ikan bumbu acar kuning, segar, lauk perkedel tahu"
90,Ayam Bakar (Bacem),Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tempe Bacem","Ayam bakar bumbu bacem, manis gurih, lauk tempe"
91,Ayam Cabe Ijo,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Sayur Bayam, Snack/Sunny Egg","Ayam bumbu cabe ijo, tumis bayam, lauk telur"
92,Beef Bulgogi,Sapi,395,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Daging sapi bumbu bulgogi Korea, lauk tahu"
93,Ayam Sambel Geprek,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Sayur Sop, Snack","Ayam geprek, sambal pedas, disajikan sayur sop"
94,Pasta Aglio Eolio & Dori Stick,Ikan,395,"","Steamed Vege, Puding Buah","Pasta aglio eolio, stik dori, hidangan penutup"
95,Bistik Bola Sapi,Sapi,395,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Bola daging bistik, saus gurih, tumis sayur, tahu"
96,Scotch Egg,Lainnya,390,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Telur balut daging, disajikan dengan salad sayur"
97,Beef Yakiniku,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu, Snack","Daging sapi yakiniku, tumis sayur, lauk tahu"
98,Cah Ayam Buncis,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Sunny Egg, Snack","Tumis buncis ayam cincang, lauk telur mata sapi"
99,Fish Katsu Saus Manis Pedas,Ikan,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Katsu ikan saus manis pedas, tumis sayuran"
100,Tumis Ayam Paprika,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Ayam tumis paprika, lauk tahu kukus, sayur kukus"
101,Rendang Ayam,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Rendang ayam tanpa santan, tumis sayur, lauk tempe"
102,Brokoli Sapi Lada Hitam,Sapi,400,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Tumis brokoli sapi lada hitam, sayuran kukus"
103,Opor Ayam (Tanpa Santan),Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Opor ayam kuah bening, tanpa santan, lauk telur"
104,Baked Chicken Honey,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Ayam panggang madu, sayur kukus, lauk tahu"
105,Ikan Woku,Ikan,400,"Kentang, Nasi Merah, Nasi Putih","Sayur Bayam, Scramble Egg","Ikan bumbu woku pedas kemangi, lauk telur orak-arik"
106,Kebab Ayam,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Daging kebab ayam, disajikan dengan salad sayur"
107,Chicken Blackpepper,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Tepanyaki, Scramble Egg","Ayam lada hitam, sayur tepanyaki, telur orak-arik"
108,Cah Buncis Sapi Cincang,Sapi,395,"Kentang, Nasi Merah, Nasi Putih","Tofu","Tumis buncis sapi cincang, lauk tahu"
109,Sapi Cabe Garam,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Daging sapi tumis cabe garam, pedas gurih, tumis sayur"
110,Mie Ayam Sehat Spesial,Ayam,395,"","Steamed Vege, Tofu","Mie ayam sehat, sayuran kukus, lauk tahu"
111,Chicken Rolade,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Clear Soup","Rolade ayam kukus, disajikan dengan sop bening"
112,Dori Sambal Matah,Ikan,390,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege","Ikan dori, sambal matah segar, sayuran kukus"
113,Gulai Ikan,Ikan,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tempe","Gulai ikan tanpa santan, sayur kukus, lauk tempe"
114,Chicken Ball Crispy,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Bola ayam renyah, disajikan dengan salad sayur"
115,Soto Bandung,Sapi,395,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Soto daging kuah bening, lobak, lauk telur rebus"
116,Sempol Ayam Grill,Ayam,390,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege","Sempol ayam panggang, rendah minyak, sayur kukus"
117,Sapi Cabe Garam,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Daging sapi tumis cabe garam, lauk tahu, tumis sayur"
118,Tumis Ayam Brokoli,Ayam,390,"Jagung, Nasi Merah, Nasi Putih","Snack","Tumis ayam dan brokoli, menu sehat klasik"
119,Soto Ayam Kuning,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Soto ayam bumbu kuning, tanpa santan, lauk telur"
120,Dori Oat Saus Wijen,Ikan,400,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ikan dori balut oat, saus wijen gurih, sayur kukus"
121,Ikan Cabe Ijo,Ikan,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Ikan bumbu cabe ijo, tumis sayur, lauk tahu"
122,Ayam Bakar Padang,Ayam,400,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tempe","Ayam bakar bumbu padang, tanpa santan, lauk tempe"
123,Rawon Surabaya,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg","Daging rawon kuah rempah, sayur kukus, lauk telur"
