No,Nama Menu,Kategori,Kalori (kcal),Sumber Karbohidrat,Bahan Utama / Pendamping,Deskripsi Singkat
344,Prawn Cake Thailand Sauce Chef's Choice,Seafood,530,Pasta,Salad Oil Dressing,"Menu Prawn Cake Thailand Sauce Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
345,Baked Fish Mozaru Chef's Choice,Ikan,539,Nasi Merah,Fried Wonton,"Menu Baked Fish Mozaru Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
346,Indonesian Beef Bakso Signature,Sapi,518,Red Grain Rice,Sunny Egg,"Menu Indonesian Beef Bakso Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
347,Ginger Chicken Ramen Kuroda Special,Ayam,543,Red Grain Rice,Kimchi,"Menu Ginger Chicken Ramen Kuroda Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
348,Healthy Oseng Mercon Sapi YellowFit,Sapi,512,Garlic Rice,Kimchi,"Menu Healthy Oseng Mercon Sapi YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
349,Japanese Beef Teriyaki Bread,Sapi,527,Nasi Hitam,Mushroom Melt,"Menu Japanese Beef Teriyaki Bread ala Yellow Fit Kitchen, rendah kalori dan bergizi."
350,Soto Betawi Ayam Chef's Choice,Ayam,532,Nasi Kuning,Sunny Egg,"Menu Soto Betawi Ayam Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
351,Thai Coconut Curry Baby Corn,Lainnya,520,Nasi Coklat,Tofu,"Menu Thai Coconut Curry Baby Corn ala Yellow Fit Kitchen, rendah kalori dan bergizi."
352,Torikatsu Chicken Ramen Special,Ayam,546,Nasi Coklat,Brokoli Rebus,"Menu Torikatsu Chicken Ramen Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
353,Indonesian Beef Bakso Special,Sapi,543,Red Grain Rice,Tempe Orek,"Menu Indonesian Beef Bakso Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
354,Healthy Oseng Mercon Sapi YellowFit,Sapi,542,Pasta,Kimchi,"Menu Healthy Oseng Mercon Sapi YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
355,Chicken Egg Okonomiyaki Deluxe,Ayam,542,Garlic Rice,Tofu,"Menu Chicken Egg Okonomiyaki Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
356,Indonesian Beef Bakso YellowFit,Sapi,519,Nasi Merah,Mushroom Melt,"Menu Indonesian Beef Bakso YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
357,Baked Fish Mozaru Chef's Choice,Ikan,517,Jagung,Tumis Sayur,"Menu Baked Fish Mozaru Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
358,Mac Diet Panas Special Deluxe,Lainnya,549,Garlic Rice,Tumis Sayur,"Menu Mac Diet Panas Special Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
359,Chicken Truffle Meatballs YellowFit,Ayam,537,Pasta,Brokoli Rebus,"Menu Chicken Truffle Meatballs YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
360,Chicken Soy Garlic YangNyeom Supreme,Ayam,530,Jagung,Sunny Egg,"Menu Chicken Soy Garlic YangNyeom Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
361,Ayam Goreng Kunyit Signature,Ayam,549,Pasta,Sunny Egg,"Menu Ayam Goreng Kunyit Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
362,Khao Soi Noodle Special,Lainnya,549,Nasi Kuning,Tempe Orek,"Menu Khao Soi Noodle Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
363,Indonesian Beef Bakso Supreme,Sapi,541,Nasi Kuning,Tofu,"Menu Indonesian Beef Bakso Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
364,Udang Saus Blackpepper Chef's Choice,Seafood,532,Nasi Kuning,Sunny Egg,"Menu Udang Saus Blackpepper Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
365,Ayam Asam Manis Healthy Chef's Choice,Ayam,543,Red Grain Rice,Tofu,"Menu Ayam Asam Manis Healthy Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
366,Chicken Soy Garlic YangNyeom YellowFit,Ayam,543,Red Grain Rice,Kimchi,"Menu Chicken Soy Garlic YangNyeom YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
367,Soto Betawi Ayam Deluxe,Ayam,532,Garlic Rice,Kimchi,"Menu Soto Betawi Ayam Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
368,Salmon Red Thai Curry YellowFit,Seafood,535,Jagung,Sunny Egg,"Menu Salmon Red Thai Curry YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
369,Ayam Betutu Sambal Matah Deluxe,Ayam,547,Garlic Rice,Tumis Sayur,"Menu Ayam Betutu Sambal Matah Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
370,Chicken Egg Okonomiyaki Special,Ayam,513,Nasi Hitam,Brokoli Rebus,"Menu Chicken Egg Okonomiyaki Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
371,Chicken Truffle Meatballs Signature,Ayam,525,Garlic Rice,Brokoli Rebus,"Menu Chicken Truffle Meatballs Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
372,Bakwan Sayur Healthy,Lainnya,547,Pasta,Brokoli Rebus,"Menu Bakwan Sayur Healthy ala Yellow Fit Kitchen, rendah kalori dan bergizi."
373,Ayam Goreng Kunyit Supreme,Ayam,518,Garlic Rice,Fried Wonton,"Menu Ayam Goreng Kunyit Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
374,Beef Short Ribs Rendang YellowFit,Sapi,528,Garlic Rice,Brokoli Rebus,"Menu Beef Short Ribs Rendang YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
375,Ayam Betutu Sambal Matah Deluxe,Ayam,542,Pasta,Kimchi,"Menu Ayam Betutu Sambal Matah Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
376,Beef Short Ribs Rendang YellowFit,Sapi,519,Red Grain Rice,Salad Oil Dressing,"Menu Beef Short Ribs Rendang YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
377,Chicken Egg Okonomiyaki Supreme,Ayam,547,Nasi Kuning,Mushroom Melt,"Menu Chicken Egg Okonomiyaki Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
378,Udang Saus Blackpepper Chef's Choice,Seafood,546,Garlic Rice,Brokoli Rebus,"Menu Udang Saus Blackpepper Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
379,Opor Susu Legenda YellowFit,Lainnya,546,Nasi Coklat,Kimchi,"Menu Opor Susu Legenda YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
380,Udang Saus Blackpepper YellowFit,Seafood,530,Red Grain Rice,Kimchi,"Menu Udang Saus Blackpepper YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
381,Mac Diet Panas Special Deluxe,Lainnya,530,Pasta,Salad Oil Dressing,"Menu Mac Diet Panas Special Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
382,Ayam Asam Manis Healthy YellowFit,Ayam,530,Garlic Rice,Sunny Egg,"Menu Ayam Asam Manis Healthy YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
383,Khao Soi Noodle Supreme,Lainnya,532,Nasi Kuning,Mushroom Melt,"Menu Khao Soi Noodle Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
384,Beef Short Ribs Rendang Signature,Sapi,518,Nasi Merah,Fried Wonton,"Menu Beef Short Ribs Rendang Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
385,Prawn Cake Thailand Sauce,Seafood,538,Nasi Hitam,Salad Oil Dressing,"Menu Prawn Cake Thailand Sauce ala Yellow Fit Kitchen, rendah kalori dan bergizi."
386,Ayam Goreng Kunyit Signature,Ayam,525,Garlic Rice,Salad Oil Dressing,"Menu Ayam Goreng Kunyit Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
387,Chicken Egg Okonomiyaki Supreme,Ayam,542,Nasi Coklat,Tofu,"Menu Chicken Egg Okonomiyaki Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
388,Ayam Asam Manis Healthy Deluxe,Ayam,532,Nasi Hitam,Salad Oil Dressing,"Menu Ayam Asam Manis Healthy Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
389,Pizza Fit Chef's Choice,Lainnya,533,Nasi Hitam,Kimchi,"Menu Pizza Fit Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
390,Healthy Japanese Sushi Roll,Lainnya,511,Nasi Merah,Brokoli Rebus,"Menu Healthy Japanese Sushi Roll ala Yellow Fit Kitchen, rendah kalori dan bergizi."
391,Chicken Egg Okonomiyaki Special,Ayam,518,Garlic Rice,Sunny Egg,"Menu Chicken Egg Okonomiyaki Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
392,Chicken Truffle Meatballs YellowFit,Ayam,528,Red Grain Rice,Mushroom Melt,"Menu Chicken Truffle Meatballs YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
393,Ayam Goreng Kunyit,Ayam,527,Nasi Kuning,Mushroom Melt,"Menu Ayam Goreng Kunyit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
394,Ayam Asam Manis Healthy Chef's Choice,Ayam,537,Garlic Rice,Mushroom Melt,"Menu Ayam Asam Manis Healthy Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
395,Chicken Truffle Meatballs Deluxe,Ayam,517,Jagung,Tempe Orek,"Menu Chicken Truffle Meatballs Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
396,Hamburg Steak Saus Teriyaki,Sapi,537,Red Grain Rice,Salad Oil Dressing,"Menu Hamburg Steak Saus Teriyaki ala Yellow Fit Kitchen, rendah kalori dan bergizi."
397,Japanese Beef Teriyaki Bread YellowFit,Sapi,522,Pasta,Kimchi,"Menu Japanese Beef Teriyaki Bread YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
398,Soto Betawi Ayam,Ayam,529,Jagung,Brokoli Rebus,"Menu Soto Betawi Ayam ala Yellow Fit Kitchen, rendah kalori dan bergizi."
399,Chicken Soy Garlic YangNyeom Supreme,Ayam,530,Nasi Coklat,Kimchi,"Menu Chicken Soy Garlic YangNyeom Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
400,Ayam Asam Manis Healthy Signature,Ayam,525,Garlic Rice,Tempe Orek,"Menu Ayam Asam Manis Healthy Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
401,Indonesian Beef Bakso,Sapi,533,Nasi Kuning,Tumis Sayur,"Menu Indonesian Beef Bakso ala Yellow Fit Kitchen, rendah kalori dan bergizi."
402,Thai Coconut Curry Baby Corn,Lainnya,530,Red Grain Rice,Tumis Sayur,"Menu Thai Coconut Curry Baby Corn ala Yellow Fit Kitchen, rendah kalori dan bergizi."
403,Telur Mata Sapi Balado Special,Lainnya,520,Nasi Hitam,Salad Oil Dressing,"Menu Telur Mata Sapi Balado Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
404,Healthy Japanese Sushi Roll,Lainnya,527,Nasi Hitam,Tofu,"Menu Healthy Japanese Sushi Roll ala Yellow Fit Kitchen, rendah kalori dan bergizi."
405,Mac Diet Panas Special Special,Lainnya,527,Nasi Merah,Mushroom Melt,"Menu Mac Diet Panas Special Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
406,Slow Cooked Beef Deluxe,Sapi,525,Red Grain Rice,Salad Oil Dressing,"Menu Slow Cooked Beef Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
407,Baked Fish Mozaru Special,Ikan,530,Pasta,Brokoli Rebus,"Menu Baked Fish Mozaru Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
408,Spaghetti Ayam Geprek Special,Ayam,523,Red Grain Rice,Fried Wonton,"Menu Spaghetti Ayam Geprek Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
409,Salmon Red Thai Curry Chef's Choice,Seafood,535,Nasi Hitam,Tempe Orek,"Menu Salmon Red Thai Curry Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
410,Baked Fish Mozaru Supreme,Ikan,547,Nasi Hitam,Tumis Sayur,"Menu Baked Fish Mozaru Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
411,Telur Mata Sapi Balado Supreme,Lainnya,511,Nasi Merah,Fried Wonton,"Menu Telur Mata Sapi Balado Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
412,Japanese Beef Teriyaki Bread Supreme,Sapi,533,Nasi Coklat,Salad Oil Dressing,"Menu Japanese Beef Teriyaki Bread Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
413,Beef Short Ribs Rendang Special,Sapi,546,Red Grain Rice,Salad Oil Dressing,"Menu Beef Short Ribs Rendang Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
414,Khao Soi Noodle Supreme,Lainnya,525,Garlic Rice,Kimchi,"Menu Khao Soi Noodle Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
415,Udang Saus Blackpepper Chef's Choice,Seafood,512,Nasi Hitam,Tempe Orek,"Menu Udang Saus Blackpepper Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
416,Torikatsu Chicken Ramen Chef's Choice,Ayam,537,Nasi Coklat,Kimchi,"Menu Torikatsu Chicken Ramen Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
417,Thai Coconut Curry Baby Corn,Lainnya,546,Nasi Coklat,Tofu,"Menu Thai Coconut Curry Baby Corn ala Yellow Fit Kitchen, rendah kalori dan bergizi."
418,Indonesian Beef Bakso Signature,Sapi,533,Garlic Rice,Kimchi,"Menu Indonesian Beef Bakso Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
419,Ayam Betutu Sambal Matah,Ayam,532,Nasi Hitam,Kimchi,"Menu Ayam Betutu Sambal Matah ala Yellow Fit Kitchen, rendah kalori dan bergizi."
420,Ayam Asam Manis Healthy YellowFit,Ayam,530,Jagung,Tempe Orek,"Menu Ayam Asam Manis Healthy YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
421,Pizza Fit Signature,Lainnya,549,Garlic Rice,Tofu,"Menu Pizza Fit Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
422,Bakwan Sayur Healthy,Lainnya,530,Red Grain Rice,Tumis Sayur,"Menu Bakwan Sayur Healthy ala Yellow Fit Kitchen, rendah kalori dan bergizi."
423,Udang Saus Blackpepper YellowFit,Seafood,544,Nasi Merah,Tumis Sayur,"Menu Udang Saus Blackpepper YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
424,Slow Cooked Beef Signature,Sapi,518,Nasi Merah,Tofu,"Menu Slow Cooked Beef Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
425,Chicken Egg Okonomiyaki Deluxe,Ayam,543,Nasi Hitam,Kimchi,"Menu Chicken Egg Okonomiyaki Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
426,Opor Susu Legenda Special,Lainnya,511,Nasi Hitam,Sunny Egg,"Menu Opor Susu Legenda Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
427,Chicken Truffle Meatballs YellowFit,Ayam,511,Nasi Kuning,Fried Wonton,"Menu Chicken Truffle Meatballs YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
428,Ayam Goreng Kunyit Signature,Ayam,533,Nasi Merah,Brokoli Rebus,"Menu Ayam Goreng Kunyit Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
429,Opor Susu Legenda Chef's Choice,Lainnya,511,Nasi Coklat,Mushroom Melt,"Menu Opor Susu Legenda Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
430,Mac Diet Panas Special Signature,Lainnya,537,Nasi Kuning,Mushroom Melt,"Menu Mac Diet Panas Special Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
431,Khao Soi Noodle Supreme,Lainnya,527,Nasi Kuning,Salad Oil Dressing,"Menu Khao Soi Noodle Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
432,Ayam Asam Manis Healthy YellowFit,Ayam,511,Red Grain Rice,Kimchi,"Menu Ayam Asam Manis Healthy YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
433,Ayam Goreng Kunyit Chef's Choice,Ayam,519,Nasi Merah,Tempe Orek,"Menu Ayam Goreng Kunyit Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
434,Torikatsu Chicken Ramen Special,Ayam,544,Nasi Hitam,Tumis Sayur,"Menu Torikatsu Chicken Ramen Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
435,Torikatsu Chicken Ramen Signature,Ayam,541,Nasi Merah,Tofu,"Menu Torikatsu Chicken Ramen Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
436,Nasi Uduk Saus Kacang Supreme,Lainnya,518,Nasi Coklat,Tumis Sayur,"Menu Nasi Uduk Saus Kacang Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
437,Beef Short Ribs Rendang Special,Sapi,542,Nasi Kuning,Brokoli Rebus,"Menu Beef Short Ribs Rendang Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
438,Ayam Asam Manis Healthy,Ayam,511,Nasi Hitam,Tofu,"Menu Ayam Asam Manis Healthy ala Yellow Fit Kitchen, rendah kalori dan bergizi."
439,Ayam Goreng Kunyit Deluxe,Ayam,525,Garlic Rice,Kimchi,"Menu Ayam Goreng Kunyit Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
440,Prawn Cake Thailand Sauce Chef's Choice,Seafood,532,Nasi Coklat,Fried Wonton,"Menu Prawn Cake Thailand Sauce Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."
441,Indonesian Beef Bakso Signature,Sapi,532,Nasi Kuning,Mushroom Melt,"Menu Indonesian Beef Bakso Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
442,Prawn Cake Thailand Sauce Deluxe,Seafood,520,Nasi Coklat,Brokoli Rebus,"Menu Prawn Cake Thailand Sauce Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
443,Pizza Fit Deluxe,Lainnya,542,Nasi Coklat,Tumis Sayur,"Menu Pizza Fit Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
444,Telur Mata Sapi Balado Special,Lainnya,520,Red Grain Rice,Kimchi,"Menu Telur Mata Sapi Balado Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
445,Cheese Buldak Chicken YellowFit,Ayam,532,Garlic Rice,Brokoli Rebus,"Menu Cheese Buldak Chicken YellowFit ala Yellow Fit Kitchen, rendah kalori dan bergizi."
446,Thai Coconut Curry Baby Corn Special,Lainnya,457,Nasi Hitam,Tempe Orek,"Menu Thai Coconut Curry Baby Corn Special ala Yellow Fit Kitchen, rendah kalori dan bergizi."
447,Chicken Soy Garlic YangNyeom Supreme,Ayam,529,Nasi Coklat,Sunny Egg,"Menu Chicken Soy Garlic YangNyeom Supreme ala Yellow Fit Kitchen, rendah kalori dan bergizi."
448,Opor Susu Legenda Deluxe,Lainnya,499,Nasi Kuning,Tofu,"Menu Opor Susu Legenda Deluxe ala Yellow Fit Kitchen, rendah kalori dan bergizi."
449,Indonesian Beef Bakso Signature,Sapi,481,Nasi Coklat,Fried Wonton,"Menu Indonesian Beef Bakso Signature ala Yellow Fit Kitchen, rendah kalori dan bergizi."
450,Ikan Sambal Kecombrang Chef's Choice,Ikan,518,Red Grain Rice,Brokoli Rebus,"Menu Ikan Sambal Kecombrang Chef's Choice ala Yellow Fit Kitchen, rendah kalori dan bergizi."